  91       9.542e-02      -4.022e-01      -4.118e-03         -0.0557
  92       6.487e-02      -4.022e-01      -5.113e-03         -0.0808
  93       3.663e-02      -4.022e-01      -5.030e-03         -0.0889
  94       1.502e-02      -4.022e-01      -3.764e-03         -0.0511
  95       3.329e-03      -4.022e-01      -1.537e-03          0.2058
  96       3.329e-03      -4.022e-01       2.174e-03          0.1618
  97       1.502e-02      -4.022e-01       6.803e-03         -0.3626
  98       3.663e-02      -4.022e-01       1.006e-02         -0.3557
  99       6.487e-02      -4.022e-01       1.072e-02         -0.2870
 100       9.542e-02      -4.022e-01       8.677e-03         -0.1871
 101       1.237e-01      -4.022e-01       5.079e-03         -0.0790
 102       1.453e-01      -4.022e-01       1.881e-03          0.0153
 103       1.570e-01      -4.022e-01       3.098e-04          0.0661
Strip 7
 104       1.570e-01      -3.833e-01      -1.095e-04          0.1641
 105       1.452e-01      -3.833e-01      -8.358e-04          0.1059
 106       1.236e-01      -3.833e-01      -2.410e-03          0.0151
 107       9.531e-02      -3.833e-01      -4.126e-03         -0.0537
 108       6.469e-02      -3.833e-01      -5.123e-03         -0.0842
 109       3.641e-02      -3.833e-01      -5.039e-03         -0.0907
 110       1.476e-02      -3.833e-01      -3.771e-03         -0.0445
 111       3.045e-03      -3.833e-01      -1.540e-03          0.2500
 112       3.045e-03      -3.833e-01       2.178e-03          0.1072
 113       1.476e-02      -3.833e-01       6.815e-03         -0.4635
 114       3.641e-02      -3.833e-01       1.007e-02         -0.4393
 115       6.469e-02      -3.833e-01       1.074e-02         -0.3453
 116       9.531e-02      -3.833e-01       8.692e-03         -0.2097
 117       1.236e-01      -3.833e-01       5.089e-03         -0.0544
 118       1.452e-01      -3.833e-01       1.885e-03          0.0864
 119       1.570e-01      -3.833e-01       3.104e-04          0.1590
Strip 8
 120       1.570e-01      -3.500e-01      -1.095e-04          0.1754
 121       1.452e-01      -3.500e-01      -8.358e-04          0.1170
 122       1.236e-01      -3.500e-01      -2.410e-03          0.0244
 123       9.531e-02      -3.500e-01      -4.126e-03         -0.0492
 124       6.469e-02      -3.500e-01      -5.123e-03         -0.0813
 125       3.641e-02      -3.500e-01      -5.039e-03         -0.0806
 126       1.476e-02      -3.500e-01      -3.771e-03         -0.0126
 127       3.045e-03      -3.500e-01      -1.540e-03          0.3308
 128       3.045e-03      -3.500e-01       2.178e-03          0.0105
 129       1.476e-02      -3.500e-01       6.815e-03         -0.5333
 130       3.641e-02      -3.500e-01       1.007e-02         -0.5069
 131       6.469e-02      -3.500e-01       1.074e-02         -0.4016
 132       9.531e-02      -3.500e-01       8.692e-03         -0.2425
 133       1.236e-01      -3.500e-01       5.089e-03         -0.0625
 134       1.452e-01      -3.500e-01       1.885e-03          0.0929
 135       1.570e-01      -3.500e-01       3.104e-04          0.1713
Strip 9
 136       1.570e-01      -3.167e-01      -1.095e-04          0.1786
 137       1.452e-01      -3.167e-01      -8.358e-04          0.1212
 138       1.236e-01      -3.167e-01      -2.410e-03          0.0296
 139       9.531e-02      -3.167e-01      -4.126e-03         -0.0437
 140       6.469e-02      -3.167e-01      -5.123e-03         -0.0742
 141       3.641e-02      -3.167e-01      -5.039e-03         -0.0684
 142       1.476e-02      -3.167e-01      -3.771e-03          0.0112
 143       3.045e-03      -3.167e-01      -1.540e-03          0.3870
 144       3.045e-03      -3.167e-01       2.178e-03         -0.0655
 145       1.476e-02      -3.167e-01       6.815e-03         -0.5787
 146       3.641e-02      -3.167e-01       1.007e-02         -0.5433
 147       6.469e-02      -3.167e-01       1.074e-02         -0.4321
 148       9.531e-02      -3.167e-01       8.692e-03         -0.2632
 149       1.236e-01      -3.167e-01       5.089e-03         -0.0723
 150       1.452e-01      -3.167e-01       1.885e-03          0.0911
 151       1.570e-01      -3.167e-01       3.104e-04          0.1733
Strip 10
 152       1.570e-01      -2.833e-01      -1.095e-04          0.1798
 153       1.452e-01      -2.833e-01      -8.358e-04          0.1233
 154       1.236e-01      -2.833e-01      -2.410e-03          0.0331
 155       9.531e-02      -2.833e-01      -4.126e-03         -0.0389
 156       6.469e-02      -2.833e-01      -5.123e-03         -0.0676
 157       3.641e-02      -2.833e-01      -5.039e-03         -0.0582
 158       1.476e-02      -2.833e-01      -3.771e-03          0.0293
 159       3.045e-03      -2.833e-01      -1.540e-03          0.4281
 160       3.045e-03      -2.833e-01       2.178e-03         -0.1248
 161       1.476e-02      -2.833e-01       6.815e-03         -0.6111
 162       3.641e-02      -2.833e-01       1.007e-02         -0.5670
 163       6.469e-02      -2.833e-01       1.074e-02         -0.4512
 164       9.531e-02      -2.833e-01       8.692e-03         -0.2766
 165       1.236e-01      -2.833e-01       5.089e-03         -0.0797
 166       1.452e-01      -2.833e-01       1.885e-03          0.0885
