  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      29	 15:38:02	  11.000	   97.56	 1013.20	   22.76	  750.55	   1.193	 -802.13	 -520.64	 -621.24	 -596.33	 -318.83	 -284.69	 -241.84	 -224.78	 -203.20	 -184.03	 -152.57	 -147.31	 -133.44	 -116.29	  -98.05	  -84.78	  -69.13	  -57.05	  -45.12	  -33.43	  -25.94	  -16.41	  -11.72	   -6.94	    1.95	 -805.15	   26.02	  203.44	  180.87	  140.58	  113.57	   96.19	   83.43	   74.25	   65.31	   58.24	   52.46	   46.46	   42.14	   37.88	   34.17	   30.96	   28.60	   27.04	   25.13	   24.74	   23.96	   23.69	    1.95	  206.49	  205.63	  207.04	  208.37	  206.50	  205.99	  207.97	  206.47	  207.51	  207.54	  206.62	  206.64	  207.95	  206.69	  206.01	  204.34	  196.04	  183.07	  162.44	  148.48	  147.94	  159.31	  175.19	  194.59	  200.57	  207.21	  206.93	  203.76	  204.25	  206.60	  206.15	  206.49	  206.26	  206.87	  206.52	  205.84	  206.12	  206.73	  206.07	  206.94	  205.99	  206.50	  206.23	  206.33	  206.45	  205.76	  206.83	  205.55	    6.89	   12.90	   13.46	   12.24	    9.37	   10.05	    9.79	   10.35	    9.61	    8.11	    8.04	   13.19	   -0.18	    0.08	    0.23	    0.24
      30	 15:39:06	  10.500	   95.37	 1013.21	   22.76	  750.34	   1.193	 -874.20	 -483.14	 -555.01	 -542.24	 -292.60	 -272.53	 -233.26	 -218.66	 -198.44	 -181.04	 -149.56	 -145.25	 -132.44	 -116.44	  -98.89	  -86.44	  -70.55	  -58.66	  -46.25	  -33.98	  -24.90	  -14.55	   -8.68	   -2.74	    6.60	 -878.44	   49.29	  201.13	  173.84	  134.40	  108.32	   91.41	   79.22	   70.54	   61.99	   55.27	   49.86	   44.21	   40.20	   36.28	   32.86	   29.93	   27.93	   26.64	   25.04	   24.96	   24.56	   24.65	    6.60	  203.22	  202.24	  203.55	  205.02	  203.40	  202.69	  204.71	  203.26	  204.29	  204.12	  203.05	  203.27	  204.50	  203.39	  202.82	  203.15	  197.60	  186.42	  166.51	  151.48	  150.13	  160.15	  175.79	  193.26	  198.85	  203.94	  203.51	  200.38	  201.18	  203.28	  203.00	  203.18	  203.30	  203.69	  203.77	  202.90	  203.02	  203.74	  203.16	  203.92	  202.86	  203.76	  203.01	  203.23	  204.02	  202.80	  203.79	  202.64	    6.96	   12.79	   13.28	   12.11	    9.71	   10.21	   10.01	   10.20	    9.60	    8.14	    8.05	   13.09	   -0.15	    0.11	    0.19	    0.22
      31	 15:39:33	  10.000	   97.16	 1013.23	   22.74	  750.40	   1.193	 -866.40	 -495.21	 -538.55	 -489.73	 -296.83	 -270.56	 -231.59	 -217.87	 -198.53	 -182.44	 -152.14	 -147.26	 -135.68	 -119.78	 -102.63	  -90.08	  -74.63	  -62.12	  -48.96	  -36.18	  -25.48	  -13.37	   -5.80	    1.86	   13.07	 -870.23	   65.30	  203.33	  171.33	  131.83	  105.83	   88.96	   77.20	   68.77	   60.44	   53.95	   48.74	   43.35	   39.61	   35.84	   32.70	   30.05	   28.28	   27.30	   26.04	   26.37	   26.34	   26.94	   13.07	  204.89	  204.01	  205.35	  206.73	  205.23	  204.49	  206.28	  204.95	  205.95	  205.84	  204.83	  204.99	  206.23	  205.10	  204.77	  205.80	  203.74	  195.94	  177.48	  158.12	  153.24	  162.64	  179.12	  196.59	  201.16	  206.00	  205.26	  202.43	  202.79	  204.96	  204.57	  205.43	  204.99	  205.64	  205.42	  204.50	  204.81	  205.57	  204.87	  205.72	  204.85	  205.32	  204.87	  205.12	  205.86	  204.52	  205.57	  204.52	    7.21	   12.96	   13.49	   12.38	   10.43	   10.85	   10.78	   10.54	    9.71	    8.27	    8.26	   13.31	    0.15	    0.16	    0.22	    0.25
      32	 15:39:43	   9.500	   98.16	 1013.22	   22.75	  750.00	   1.193	 -808.40	 -501.76	 -497.31	 -411.66	 -344.46	 -265.84	 -230.00	 -214.98	 -196.79	 -181.82	 -152.14	 -148.83	 -137.71	 -122.32	 -105.17	  -92.82	  -77.83	  -64.47	  -51.07	  -38.31	  -26.60	  -13.07	   -3.49	    5.28	   17.42	 -811.96	   81.84	  205.66	  169.35	  128.91	  102.51	   86.20	   74.67	   66.43	   58.33	   52.02	   46.96	   41.84	   38.36	   34.79	   31.80	   29.43	   27.93	   27.21	   26.27	   26.96	   27.31	   28.41	   17.42	  207.32	  206.32	  207.90	  209.03	  207.71	  206.67	  208.63	  207.40	  208.40	  208.13	  207.15	  207.25	  208.63	  207.36	  207.36	  208.03	  207.87	  204.51	  188.44	  167.04	  155.27	  161.36	  178.73	  198.42	  203.69	  208.45	  207.72	  205.23	  204.97	  207.32	  206.89	  207.79	  207.35	  206.66	  207.74	  206.94	  207.24	  207.89	  207.10	  208.03	  207.12	  207.64	  207.39	  207.59	  208.35	  206.84	  208.04	  207.21	    7.47	   13.19	   13.71	   12.62	   10.93	   11.33	   11.35	   10.81	    9.93	    8.50	    8.52	   13.54	    0.19	    0.16	    0.24	    0.26
      33	 15:39:52	   9.000	   96.68	 1013.23	   22.73	  750.03	   1.193	 -700.07	 -464.32	 -453.87	 -372.16	 -312.78	 -272.95	 -225.21	 -205.40	 -186.76	 -172.92	 -144.85	 -143.15	 -132.10	 -118.57	 -102.48	  -90.87	  -75.85	  -63.37	  -50.17	  -37.65	  -25.82	  -11.95	   -2.32	    6.95	   19.54	 -702.56	  102.42	  203.19	  162.25	  122.30	   96.50	   80.61	   69.57	   61.88	   54.20	   48.43	   43.64	   38.87	   35.78	   32.49	   29.80	   27.69	   26.45	   26.00	   25.35	   26.28	   26.89	   28.25	   19.54	  204.19	  203.49	  204.76	  206.23	  204.69	  203.92	  205.73	  204.43	  205.47	  205.34	  204.42	  204.43	  205.66	  204.62	  204.12	  205.45	  205.20	  204.63	  194.95	  175.15	  157.34	  157.22	  170.78	  192.36	  200.09	  205.46	  204.71	  202.08	  202.28	  204.44	  204.01	  204.81	  204.32	  203.65	  204.69	  203.83	  204.14	  204.84	  204.28	  205.02	  204.06	  204.63	  204.15	  204.37	  205.13	  203.95	  205.00	  204.00	    7.50	   12.94	   13.42	   12.34	   10.90	   11.09	   11.16	   10.46	    9.90	    8.54	    8.52	   13.19	   -0.01	    0.12	    0.20	    0.22
      34	 15:40:02	   8.500	   98.06	 1013.24	   22.74	  749.96	   1.193	 -601.05	 -422.63	 -417.74	 -349.43	 -295.73	 -254.95	 -222.61	 -209.72	 -188.05	 -169.03	 -138.63	 -138.58	 -129.04	 -116.78	 -101.37	  -89.50	  -74.73	  -62.95	  -50.03	  -37.33	  -25.62	  -11.37	   -1.78	    8.72	   21.16	 -602.82	  123.54	  202.41	  156.70	  116.59	   91.59	   75.62	   65.36	   58.00	   50.74	   45.25	   40.82	   36.26	   33.47	   30.40	   27.94	   26.09	   25.11	   24.88	   24.40	   25.65	   26.56	   28.19	   21.16	  204.59	  203.91	  205.20	  206.67	  205.13	  204.36	  206.28	  204.83	  205.92	  205.80	  204.88	  204.81	  206.20	  205.01	  204.70	  205.89	  205.63	  206.12	  201.94	  187.17	  165.79	  156.91	  164.55	  186.59	  198.11	  205.63	  205.31	  202.52	  202.69	  204.88	  204.41	  205.41	  204.90	  205.32	  205.26	  204.35	  204.61	  205.27	  204.64	  205.49	  204.63	  205.10	  204.67	  204.79	  205.71	  204.40	  205.46	  204.60	    7.76	   12.96	   13.47	   12.41	   11.19	   11.25	   11.39	   10.67	   10.10	    8.78	    8.80	   13.20	    0.02	    0.14	    0.21	    0.23
      35	 15:40:12	   8.000	   97.26	 1013.24	   22.74	  750.05	   1.193	 -501.46	 -381.87	 -379.59	 -325.47	 -278.45	 -241.82	 -210.66	 -202.58	 -189.09	 -174.98	 -140.97	 -134.86	 -124.24	 -112.31	  -98.94	  -88.46	  -73.71	  -62.56	  -50.11	  -37.24	  -25.92	  -11.48	   -1.67	    9.05	   21.74	 -502.54	  141.96	  200.07	  148.92	  108.93	   85.44	   69.53	   60.29	   53.21	   46.44	   41.26	   37.18	   33.14	   30.34	   27.52	   25.37	   23.73	   23.03	   23.06	   22.86	   24.30	   25.46	   27.37	   21.74	  204.22	  203.36	  204.73	  206.12	  204.51	  203.85	  205.71	  204.27	  205.51	  205.17	  204.31	  204.31	  205.53	  204.51	  204.22	  205.25	  205.23	  206.01	  204.29	  195.88	  175.42	  159.71	  160.25	  179.66	  193.75	  204.40	  204.71	  202.13	  202.23	  204.36	  204.07	  204.97	  204.50	  203.78	  204.77	  203.87	  204.14	  204.98	  204.25	  205.04	  204.14	  204.80	  204.20	  204.43	  205.29	  204.03	  204.90	  204.42	    7.66	   12.59	   13.13	   12.12	   10.98	   10.93	   11.13	   10.37	    9.94	    8.67	    8.66	   12.81	   -0.44	    0.12	    0.19	    0.21
      36	 15:40:53	   8.500	   97.85	 1013.21	   22.76	  750.23	   1.193	 -602.84	 -422.36	 -418.35	 -349.71	 -296.04	 -255.84	 -223.50	 -210.01	 -188.30	 -169.40	 -139.20	 -139.50	 -129.50	 -117.64	 -101.66	  -90.57	  -76.06	  -63.61	  -51.15	  -38.62	  -26.83	  -12.37	   -2.48	    7.69	   20.40	 -603.89	  122.58	  201.87	  156.06	  116.03	   91.03	   75.16	   64.98	   57.54	   50.34	   44.91	   40.44	   36.16	   33.11	   30.11	   27.72	   25.84	   24.84	   24.67	   24.23	   25.47	   26.37	   27.97	   20.40	  203.96	  203.15	  204.45	  205.97	  204.23	  203.65	  205.65	  204.06	  205.29	  205.00	  204.05	  204.11	  205.43	  204.36	  203.83	  205.09	  204.92	  205.66	  201.20	  185.86	  165.08	  156.31	  163.56	  185.72	  197.26	  204.79	  204.50	  201.89	  202.11	  204.07	  204.16	  205.01	  204.23	  202.89	  204.51	  203.57	  203.89	  204.68	  204.03	  204.76	  203.91	  204.55	  203.97	  204.23	  204.86	  203.77	  204.66	  204.10	    7.54	   12.71	   13.23	   12.19	   10.92	   10.95	   11.10	   10.35	    9.87	    8.58	    8.57	   12.97	   -0.10	    0.09	    0.18	    0.23
      37	 15:41:26	   9.000	   96.64	 1013.23	   22.78	  749.75	   1.193	 -699.54	 -456.18	 -452.61	 -372.09	 -312.49	 -273.19	 -225.91	 -204.77	 -186.61	 -172.74	 -144.46	 -143.97	 -133.22	 -119.16	 -103.28	  -90.75	  -76.29	  -63.88	  -51.42	  -38.27	  -26.55	  -12.69	   -3.01	    6.41	   19.07	 -701.54	  101.19	  201.87	  161.43	  121.45	   95.95	   79.89	   69.12	   61.41	   53.79	   48.06	   43.25	   38.79	   35.45	   32.23	   29.52	   27.45	   26.23	   25.84	   25.13	   26.10	   26.73	   28.10	   19.07	  203.04	  202.27	  203.54	  204.99	  203.23	  202.73	  204.71	  203.01	  204.44	  204.14	  203.25	  203.25	  204.51	  203.55	  202.90	  204.31	  204.15	  204.73	  203.48	  197.30	  179.26	  160.17	  152.31	  165.93	  180.84	  199.23	  203.13	  201.05	  201.12	  203.22	  203.71	  204.09	  203.47	  203.29	  203.78	  202.85	  202.94	  203.72	  203.01	  203.83	  202.84	  203.49	  202.99	  203.33	  204.13	  202.83	  203.73	  203.06	    7.53	   12.83	   13.34	   12.26	   11.09	   10.63	   10.96	   10.38	    9.93	    8.57	    8.55	   13.07	   -0.34	    0.09	    0.19	    0.21
      38	 15:41:34	   9.500	   98.16	 1013.22	   22.80	  750.21	   1.193	 -806.90	 -494.62	 -497.73	 -411.91	 -342.65	 -265.78	 -230.49	 -215.08	 -197.21	 -181.81	 -152.75	 -149.12	 -138.13	 -122.39	 -106.24	  -93.30	  -78.58	  -64.98	  -51.93	  -38.95	  -27.46	  -13.49	   -4.11	    4.97	   17.20	 -809.96	   81.47	  205.00	  168.78	  128.58	  101.88	   85.82	   74.21	   66.04	   57.98	   51.74	   46.64	   41.72	   38.10	   34.55	   31.60	   29.21	   27.73	   27.06	   26.13	   26.80	   27.19	   28.27	   17.20	  206.33	  205.58	  206.87	  208.28	  206.66	  205.94	  207.81	  206.29	  207.56	  207.57	  206.46	  206.37	  207.89	  206.55	  206.48	  207.35	  207.37	  207.92	  204.59	  192.35	  170.69	  155.89	  155.28	  174.36	  189.51	  204.59	  206.48	  204.52	  204.26	  206.51	  206.90	  207.29	  206.14	  206.69	  206.38	  205.41	  205.81	  206.70	  205.81	  206.65	  205.73	  206.41	  205.94	  206.09	  206.98	  205.63	  206.69	  206.20	    7.40	   12.98	   13.50	   12.38	   11.05	   10.64	   10.89	   10.43	    9.87	    8.48	    8.45	   13.26	   -0.24	    0.09	    0.20	    0.22
      39	 15:41:43	  10.000	   95.11	 1013.22	   22.79	  749.83	   1.193	 -860.89	 -493.86	 -535.61	 -482.93	 -296.30	 -268.95	 -230.85	 -216.90	 -198.02	 -181.18	 -150.94	 -147.28	 -134.60	 -119.95	 -102.46	  -90.49	  -74.44	  -62.09	  -49.43	  -36.50	  -26.17	  -13.54	   -5.87	    1.99	   12.95	 -864.01	   64.56	  202.22	  170.70	  131.42	  104.75	   88.36	   76.87	   68.52	   60.26	   53.84	   48.66	   43.51	   39.66	   35.88	   32.73	   30.10	   28.35	   27.43	   26.20	   26.50	   26.51	   27.12	   12.95	  203.44	  202.66	  203.93	  205.45	  203.70	  203.08	  204.92	  203.41	  204.84	  204.60	  203.43	  203.63	  204.99	  203.83	  203.50	  204.71	  204.45	  204.18	  196.85	  180.46	  160.91	  151.44	  155.15	  174.55	  188.10	  201.57	  203.47	  201.31	  201.50	  203.55	  204.00	  204.28	  204.03	  203.78	  204.33	  203.45	  203.49	  204.29	  203.67	  204.49	  203.42	  204.29	  203.63	  203.86	  204.76	  203.45	  204.37	  203.79	    7.41	   13.06	   13.59	   12.49	   10.99	   10.50	   10.75	   10.63	    9.87	    8.43	    8.51	   13.38	    0.17	    0.12	    0.20	    0.24
      40	 15:41:51	  10.500	   94.74	 1013.23	   22.79	  749.66	   1.193	 -865.30	 -477.57	 -549.14	 -536.33	 -288.35	 -268.76	 -230.27	 -215.97	 -195.72	 -178.96	 -147.53	 -144.13	 -130.96	 -115.01	  -97.52	  -84.89	  -69.32	  -57.48	  -45.47	  -32.68	  -23.89	  -13.59	   -7.78	   -2.04	    7.59	 -868.88	   49.43	  199.98	  172.30	  133.62	  107.62	   91.12	   79.15	   70.59	   62.13	   55.49	   50.11	   44.59	   40.70	   36.70	   33.31	   30.42	   28.39	   27.17	   25.60	   25.53	   25.14	   25.19	    7.59	  201.71	  200.66	  202.03	  203.47	  201.71	  201.11	  203.04	  201.30	  202.96	  202.81	  201.63	  201.75	  203.06	  201.98	  201.43	  202.83	  201.99	  199.94	  188.92	  172.05	  154.37	  146.73	  150.57	  168.85	  181.77	  197.34	  200.99	  199.40	  199.70	  201.62	  202.11	  202.36	  202.11	  202.02	  202.46	  201.52	  201.51	  202.21	  201.62	  202.57	  201.32	  202.20	  201.62	  201.93	  202.81	  201.59	  202.34	  201.57	    7.69	   13.35	   13.88	   12.79	   11.02	   10.35	   10.50	   10.94	   10.26	    8.81	    8.81	   13.62	    0.31	    0.13	    0.21	    0.24
      41	 15:41:59	  11.000	   95.72	 1013.23	   22.80	  749.66	   1.193	 -927.82	 -507.40	 -611.92	 -593.97	 -315.15	 -280.95	 -238.97	 -222.31	 -200.93	 -182.96	 -151.56	 -145.85	 -132.26	 -115.32	  -97.72	  -84.70	  -68.89	  -56.86	  -45.13	  -33.32	  -25.97	  -16.61	  -11.80	   -6.93	    1.43	 -929.84	   31.02	  200.80	  178.19	  138.25	  111.84	   94.77	   82.25	   73.22	   64.34	   57.33	   51.66	   45.97	   41.59	   37.27	   33.55	   30.32	   28.06	   26.52	   24.63	   24.26	   23.52	   23.25	    1.43	  203.69	  202.92	  204.25	  205.74	  203.97	  203.30	  205.33	  203.64	  204.99	  204.72	  203.79	  203.83	  205.18	  204.06	  203.54	  204.73	  203.13	  198.84	  184.57	  165.98	  150.19	  145.11	  150.83	  170.14	  183.37	  199.07	  203.06	  201.65	  201.75	  203.91	  204.18	  204.65	  204.01	  204.43	  204.33	  203.47	  203.60	  204.46	  203.78	  204.59	  203.43	  204.25	  203.64	  203.99	  204.77	  203.51	  204.32	  203.67	    7.02	   12.90	   13.42	   12.29	   10.10	    9.38	    9.64	   10.32	    9.71	    8.22	    8.15	   13.14	   -0.73	    0.13	    0.24	    0.25
      42	 15:42:09	  11.500	   98.37	 1013.22	   22.80	  750.06	   1.193	 -820.41	 -577.22	 -701.34	 -434.26	 -336.33	 -289.07	 -243.95	 -224.65	 -202.63	 -183.11	 -150.41	 -144.71	 -129.76	 -111.78	  -93.57	  -80.47	  -65.27	  -53.73	  -42.71	  -32.62	  -26.99	  -19.12	  -16.14	  -12.46	   -4.15	 -823.36	    5.74	  200.67	  182.57	  143.34	  115.84	   98.26	   85.78	   76.38	   67.23	   59.86	   53.86	   47.92	   43.21	   38.65	   34.65	   31.17	   28.56	   26.71	   24.57	   23.71	   22.60	   21.96	   -4.15	  205.01	  204.38	  205.92	  207.15	  205.41	  204.84	  206.68	  205.14	  206.38	  206.15	  205.06	  205.21	  206.69	  205.43	  204.89	  205.65	  202.42	  195.26	  178.89	  159.37	  146.54	  143.42	  150.75	  170.35	  183.30	  199.26	  204.16	  202.93	  203.07	  205.31	  205.66	  206.02	  205.11	  205.70	  205.62	  204.82	  204.91	  205.69	  205.29	  205.81	  204.85	  205.51	  205.08	  205.21	  206.14	  204.74	  205.75	  204.99	    7.29	   13.21	   13.80	   12.64	   10.09	    9.23	    9.28	   10.34	   10.11	    8.52	    8.46	   13.48	    0.11	    0.11	    0.20	    0.24
      43	 15:42:19	  12.000	   97.00	 1013.21	   22.81	  749.78	   1.193	 -844.44	 -611.37	 -753.25	 -398.64	 -342.72	 -289.24	 -242.02	 -222.13	 -197.99	 -178.72	 -143.84	 -138.73	 -123.10	 -104.20	  -85.84	  -72.25	  -59.70	  -48.53	  -39.54	  -32.92	  -29.34	  -24.32	  -21.44	  -19.90	  -11.01	 -848.38	   -9.36	  197.19	  183.29	  144.83	  117.65	   99.83	   87.37	   77.84	   68.50	   60.90	   54.74	   48.44	   43.71	   38.90	   34.68	   30.90	   28.03	   25.82	   23.23	   22.05	   20.55	   19.34	  -11.01	  203.01	  202.27	  203.51	  205.16	  203.32	  202.68	  204.62	  202.86	  204.41	  204.13	  203.05	  203.21	  204.59	  203.37	  202.61	  202.45	  196.64	  188.06	  169.57	  151.17	  140.27	  139.76	  148.39	  167.96	  180.94	  196.74	  201.88	  200.67	  201.05	  203.04	  203.58	  203.94	  203.20	  203.62	  203.60	  202.65	  202.64	  203.59	  203.39	  203.67	  202.56	  203.38	  202.71	  203.20	  203.91	  202.79	  203.58	  202.88	    7.32	   13.23	   13.85	   12.60	    9.63	    8.57	    8.70	    9.87	   10.29	    8.67	    8.54	   13.46	    0.18	    0.10	    0.18	    0.24
      44	 15:42:28	  12.500	   96.19	 1013.23	   22.82	  749.81	   1.193	 -832.46	 -623.98	 -780.38	 -409.95	 -340.97	 -286.77	 -237.77	 -217.56	 -192.56	 -170.89	 -135.69	 -128.78	 -113.41	  -95.34	  -77.53	  -64.01	  -54.52	  -45.39	  -39.34	  -35.77	  -33.62	  -31.39	  -28.01	  -27.70	  -18.68	 -835.31	  -16.63	  194.99	  184.01	  146.31	  119.48	  101.22	   88.78	   79.02	   69.47	   61.68	   55.26	   48.75	   43.71	   38.66	   34.14	   30.14	   26.92	   24.38	   21.44	   19.81	   17.89	   16.10	  -18.68	  202.33	  201.47	  202.78	  204.18	  202.50	  201.91	  203.81	  202.21	  203.72	  203.38	  202.45	  202.36	  203.74	  202.62	  201.42	  199.91	  191.89	  180.32	  160.31	  143.90	  136.03	  139.20	  149.80	  170.40	  182.41	  196.95	  201.61	  199.97	  200.29	  202.25	  202.82	  203.15	  202.79	  202.35	  203.03	  202.14	  202.20	  203.04	  202.96	  203.32	  202.03	  203.04	  202.41	  202.68	  203.38	  202.35	  203.13	  202.33	    7.41	   13.30	   13.97	   12.59	    8.89	    8.04	    7.79	    9.90	   10.45	    8.85	    8.66	   13.53	   -0.21	    0.08	    0.18	    0.24
      45	 15:42:37	  13.000	   96.43	 1013.23	   22.82	  750.18	   1.193	 -803.34	 -634.12	 -790.33	 -433.15	 -339.18	 -284.02	 -233.98	 -212.33	 -186.73	 -163.15	 -128.05	 -119.30	 -103.51	  -85.86	  -69.51	  -58.39	  -52.23	  -46.04	  -42.69	  -41.52	  -39.58	  -38.68	  -36.96	  -37.78	  -28.36	 -806.38	  -18.52	  195.15	  185.75	  148.59	  121.08	  102.90	   90.02	   79.97	   70.13	   62.00	   55.29	   48.45	   43.17	   37.81	   32.96	   28.57	   25.05	   22.11	   18.84	   16.68	   14.26	   11.91	  -28.36	  203.05	  202.44	  203.77	  205.21	  203.41	  202.91	  204.75	  203.09	  204.48	  204.20	  203.19	  203.56	  204.50	  203.16	  200.50	  196.76	  185.38	  171.75	  152.85	  139.63	  135.01	  139.76	  151.23	  170.91	  182.32	  196.54	  201.73	  200.62	  201.09	  203.24	  203.73	  204.04	  203.19	  204.31	  203.43	  202.55	  202.69	  203.46	  203.45	  203.66	  202.51	  203.36	  202.73	  203.10	  203.79	  202.78	  203.56	  202.79	    7.23	   13.13	   13.87	   12.18	    7.67	    6.87	    6.02	    9.14	   10.31	    8.85	    8.53	   13.32	   -0.48	    0.11	    0.19	    0.23
      46	 15:42:46	  13.500	   97.44	 1013.22	   22.82	  749.85	   1.193	 -786.57	 -621.82	 -779.66	 -471.51	 -333.41	 -277.02	 -226.59	 -202.50	 -175.47	 -153.97	 -116.25	 -107.84	  -93.60	  -77.43	  -64.26	  -56.95	  -52.98	  -49.50	  -47.67	  -47.53	  -45.68	  -44.67	  -44.78	  -44.48	  -34.54	 -790.52	  -16.46	  197.16	  188.83	  151.54	  124.18	  105.26	   92.38	   82.08	   71.98	   63.59	   56.53	   49.53	   43.82	   38.16	   33.04	   28.34	   24.48	   21.17	   17.48	   15.04	   12.19	    9.39	  -34.54	  205.83	  204.98	  206.36	  207.71	  206.05	  205.46	  207.24	  205.74	  207.01	  206.76	  205.70	  205.80	  207.02	  204.97	  202.15	  197.83	  187.95	  177.03	  161.67	  149.61	  143.98	  144.98	  150.71	  164.84	  173.46	  188.02	  196.03	  198.60	  201.47	  205.06	  206.01	  206.50	  205.68	  205.66	  206.06	  205.16	  205.45	  206.20	  205.83	  206.29	  205.33	  205.94	  205.56	  205.72	  206.60	  205.21	  206.29	  205.65	    8.29	   13.95	   14.72	   13.11	    9.08	    4.55	    5.21	    5.57	    9.02	    9.68	    9.63	   13.94	   -0.22	    0.08	    0.18	    0.21
      47	 15:42:53	  14.000	   97.63	 1013.20	   22.83	  750.10	   1.193	 -736.69	 -586.89	 -731.03	 -528.83	 -328.78	 -265.16	 -214.50	 -192.60	 -164.23	 -142.66	 -108.12	 -102.25	  -89.80	  -78.26	  -67.21	  -61.84	  -60.48	  -60.21	  -57.55	  -57.09	  -54.80	  -53.07	  -53.13	  -51.94	  -41.21	 -740.50	   -7.81	  198.38	  189.83	  152.75	  125.80	  106.42	   93.57	   83.12	   72.84	   64.31	   57.01	   49.66	   43.89	   38.03	   32.61	   27.68	   23.55	   19.98	   16.00	   13.30	   10.13	    6.95	  -41.21	  206.77	  205.90	  207.37	  208.79	  207.12	  206.38	  208.08	  206.72	  207.92	  207.82	  206.66	  206.82	  208.20	  206.88	  206.81	  207.22	  205.56	  202.81	  193.28	  179.78	  162.07	  146.61	  134.40	  133.37	  135.39	  152.15	  167.81	  181.14	  192.66	  201.82	  205.37	  207.02	  206.35	  206.82	  206.73	  205.81	  206.10	  206.82	  206.60	  207.07	  206.04	  206.53	  206.31	  206.61	  207.44	  206.00	  206.97	  206.57	    9.06	   14.61	   15.56	   14.60	   12.02	    3.30	    7.39	    1.08	    1.26	    2.47	    6.90	   14.42	    0.08	    0.09	    0.20	    0.22
      48	 15:43:03	  14.500	   95.99	 1013.21	   22.84	  749.80	   1.193	 -317.23	 -210.31	 -246.41	 -254.10	 -242.37	 -223.89	 -204.69	 -206.85	 -194.96	 -186.43	 -161.12	 -160.15	 -151.22	 -140.47	 -128.85	 -122.53	 -113.75	 -107.84	 -100.52	  -94.53	  -87.42	  -80.83	  -74.63	  -68.53	  -47.70	 -318.59	  116.74	  203.13	  173.92	  138.02	  113.09	   96.69	   84.62	   75.32	   65.91	   58.12	   51.51	   44.87	   39.30	   33.83	   28.71	   24.04	   20.14	   16.87	   13.11	   10.61	    7.63	    4.51	  -47.70	  204.51	  203.65	  205.07	  206.58	  204.82	  204.05	  206.04	  204.30	  205.51	  203.70	  198.86	  195.30	  192.34	  185.69	  178.48	  172.06	  164.40	  157.83	  147.92	  140.91	  134.49	  129.46	  125.22	  125.10	  121.73	  124.55	  125.57	  125.78	  128.21	  133.91	  136.25	  140.17	  149.19	  145.34	  159.07	  162.47	  168.00	  172.43	  179.92	  186.81	  190.79	  195.59	  198.27	  201.15	  203.89	  203.86	  205.27	  205.22	   -5.25	   12.85	   11.11	    4.98	   -1.59	   -8.26	   -6.57	   -9.57	   -9.15	   -9.84	   -7.94	   13.34	    0.39	    0.10	    0.18	    0.21
