  91       9.542e-02      -4.022e-01      -4.118e-03         -0.0679
  92       6.487e-02      -4.022e-01      -5.113e-03         -0.1106
  93       3.663e-02      -4.022e-01      -5.030e-03         -0.1510
  94       1.502e-02      -4.022e-01      -3.764e-03         -0.1953
  95       3.329e-03      -4.022e-01      -1.537e-03         -0.2228
  96       3.329e-03      -4.022e-01       2.174e-03          0.5178
  97       1.502e-02      -4.022e-01       6.803e-03         -0.1922
  98       3.663e-02      -4.022e-01       1.006e-02         -0.2750
  99       6.487e-02      -4.022e-01       1.072e-02         -0.2423
 100       9.542e-02      -4.022e-01       8.677e-03         -0.1569
 101       1.237e-01      -4.022e-01       5.079e-03         -0.0437
 102       1.453e-01      -4.022e-01       1.881e-03          0.0653
 103       1.570e-01      -4.022e-01       3.098e-04          0.1245
Strip 7
 104       1.570e-01      -3.833e-01      -1.095e-04          0.1629
 105       1.452e-01      -3.833e-01      -8.358e-04          0.1029
 106       1.236e-01      -3.833e-01      -2.410e-03          0.0044
 107       9.531e-02      -3.833e-01      -4.126e-03         -0.0770
 108       6.469e-02      -3.833e-01      -5.123e-03         -0.1289
 109       3.641e-02      -3.833e-01      -5.039e-03         -0.1765
 110       1.476e-02      -3.833e-01      -3.771e-03         -0.2337
 111       3.045e-03      -3.833e-01      -1.540e-03         -0.3037
 112       3.045e-03      -3.833e-01       2.178e-03          0.5723
 113       1.476e-02      -3.833e-01       6.815e-03         -0.2388
 114       3.641e-02      -3.833e-01       1.007e-02         -0.3360
 115       6.469e-02      -3.833e-01       1.074e-02         -0.2944
 116       9.531e-02      -3.833e-01       8.692e-03         -0.1860
 117       1.236e-01      -3.833e-01       5.089e-03         -0.0434
 118       1.452e-01      -3.833e-01       1.885e-03          0.0909
 119       1.570e-01      -3.833e-01       3.104e-04          0.1631
Strip 8
 120       1.570e-01      -3.500e-01      -1.095e-04          0.1719
 121       1.452e-01      -3.500e-01      -8.358e-04          0.1105
 122       1.236e-01      -3.500e-01      -2.410e-03          0.0074
 123       9.531e-02      -3.500e-01      -4.126e-03         -0.0829
 124       6.469e-02      -3.500e-01      -5.123e-03         -0.1422
 125       3.641e-02      -3.500e-01      -5.039e-03         -0.1912
 126       1.476e-02      -3.500e-01      -3.771e-03         -0.2416
 127       3.045e-03      -3.500e-01      -1.540e-03         -0.3049
 128       3.045e-03      -3.500e-01       2.178e-03          0.5722
 129       1.476e-02      -3.500e-01       6.815e-03         -0.2585
 130       3.641e-02      -3.500e-01       1.007e-02         -0.3753
 131       6.469e-02      -3.500e-01       1.074e-02         -0.3353
 132       9.531e-02      -3.500e-01       8.692e-03         -0.2124
 133       1.236e-01      -3.500e-01       5.089e-03         -0.0511
 134       1.452e-01      -3.500e-01       1.885e-03          0.0948
 135       1.570e-01      -3.500e-01       3.104e-04          0.1717
Strip 9
 136       1.570e-01      -3.167e-01      -1.095e-04          0.1737
 137       1.452e-01      -3.167e-01      -8.358e-04          0.1121
 138       1.236e-01      -3.167e-01      -2.410e-03          0.0079
 139       9.531e-02      -3.167e-01      -4.126e-03         -0.0848
 140       6.469e-02      -3.167e-01      -5.123e-03         -0.1459
 141       3.641e-02      -3.167e-01      -5.039e-03         -0.1943
 142       1.476e-02      -3.167e-01      -3.771e-03         -0.2414
 143       3.045e-03      -3.167e-01      -1.540e-03         -0.2935
 144       3.045e-03      -3.167e-01       2.178e-03          0.5633
 145       1.476e-02      -3.167e-01       6.815e-03         -0.2720
 146       3.641e-02      -3.167e-01       1.007e-02         -0.3926
 147       6.469e-02      -3.167e-01       1.074e-02         -0.3534
 148       9.531e-02      -3.167e-01       8.692e-03         -0.2259
 149       1.236e-01      -3.167e-01       5.089e-03         -0.0577
 150       1.452e-01      -3.167e-01       1.885e-03          0.0934
 151       1.570e-01      -3.167e-01       3.104e-04          0.1727
Strip 10
 152       1.570e-01      -2.833e-01      -1.095e-04          0.1740
 153       1.452e-01      -2.833e-01      -8.358e-04          0.1124
 154       1.236e-01      -2.833e-01      -2.410e-03          0.0080
 155       9.531e-02      -2.833e-01      -4.126e-03         -0.0854
 156       6.469e-02      -2.833e-01      -5.123e-03         -0.1469
 157       3.641e-02      -2.833e-01      -5.039e-03         -0.1946
 158       1.476e-02      -2.833e-01      -3.771e-03         -0.2391
 159       3.045e-03      -2.833e-01      -1.540e-03         -0.2811
 160       3.045e-03      -2.833e-01       2.178e-03          0.5546
 161       1.476e-02      -2.833e-01       6.815e-03         -0.2818
 162       3.641e-02      -2.833e-01       1.007e-02         -0.4027
 163       6.469e-02      -2.833e-01       1.074e-02         -0.3634
 164       9.531e-02      -2.833e-01       8.692e-03         -0.2336
 165       1.236e-01      -2.833e-01       5.089e-03         -0.0621
 166       1.452e-01      -2.833e-01       1.885e-03          0.0917
 167       1.570e-01      -2.833e-01       3.104e-04          0.1723
Strip 11
 168       1.570e-01      -2.500e-01      -1.095e-04          0.1739
 169       1.452e-01      -2.500e-01      -8.358e-04          0.1124
 170       1.236e-01      -2.500e-01      -2.410e-03          0.0080
 171       9.531e-02      -2.500e-01      -4.126e-03         -0.0855
 172       6.469e-02      -2.500e-01      -5.123e-03         -0.1469
 173       3.641e-02      -2.500e-01      -5.039e-03         -0.1939
 174       1.476e-02      -2.500e-01      -3.771e-03         -0.2366
 175       3.045e-03      -2.500e-01      -1.540e-03         -0.2701
 176       3.045e-03      -2.500e-01       2.178e-03          0.5470
 177       1.476e-02      -2.500e-01       6.815e-03         -0.2890
 178       3.641e-02      -2.500e-01       1.007e-02         -0.4092
 179       6.469e-02      -2.500e-01       1.074e-02         -0.3694
 180       9.531e-02      -2.500e-01       8.692e-03         -0.2383
 181       1.236e-01      -2.500e-01       5.089e-03         -0.0650
 182       1.452e-01      -2.500e-01       1.885e-03          0.0903
 183       1.570e-01      -2.500e-01       3.104e-04          0.1718
Strip 12
 184       1.570e-01      -2.167e-01      -1.095e-04          0.1737
 185       1.452e-01      -2.167e-01      -8.358e-04          0.1123
 186       1.236e-01      -2.167e-01      -2.410e-03          0.0080
 187       9.531e-02      -2.167e-01      -4.126e-03         -0.0854
 188       6.469e-02      -2.167e-01      -5.123e-03         -0.1465
 189       3.641e-02      -2.167e-01      -5.039e-03         -0.1930
 190       1.476e-02      -2.167e-01      -3.771e-03         -0.2341
 191       3.045e-03      -2.167e-01      -1.540e-03         -0.2609
 192       3.045e-03      -2.167e-01       2.178e-03          0.5408
 193       1.476e-02      -2.167e-01       6.815e-03         -0.2944
 194       3.641e-02      -2.167e-01       1.007e-02         -0.4138
 195       6.469e-02      -2.167e-01       1.074e-02         -0.3734
 196       9.531e-02      -2.167e-01       8.692e-03         -0.2414
 197       1.236e-01      -2.167e-01       5.089e-03         -0.0670
 198       1.452e-01      -2.167e-01       1.885e-03          0.0893
 199       1.570e-01      -2.167e-01       3.104e-04          0.1713
Strip 13
 200       1.570e-01      -1.833e-01      -1.095e-04          0.1736
 201       1.452e-01      -1.833e-01      -8.358e-04          0.1123
 202       1.236e-01      -1.833e-01      -2.410e-03          0.0081
 203       9.531e-02      -1.833e-01      -4.126e-03         -0.0852
 204       6.469e-02      -1.833e-01      -5.123e-03         -0.1461
 205       3.641e-02      -1.833e-01      -5.039e-03         -0.1921
 206       1.476e-02      -1.833e-01      -3.771e-03         -0.2320
 207       3.045e-03      -1.833e-01      -1.540e-03         -0.2535
 208       3.045e-03      -1.833e-01       2.178e-03          0.5359
 209       1.476e-02      -1.833e-01       6.815e-03         -0.2986
 210       3.641e-02      -1.833e-01       1.007e-02         -0.4170
 211       6.469e-02      -1.833e-01       1.074e-02         -0.3762
 212       9.531e-02      -1.833e-01       8.692e-03         -0.2435
 213       1.236e-01      -1.833e-01       5.089e-03         -0.0683
 214       1.452e-01      -1.833e-01       1.885e-03          0.0886
 215       1.570e-01      -1.833e-01       3.104e-04          0.1708
Strip 14
 216       1.570e-01      -1.500e-01      -1.095e-04          0.1734
 217       1.452e-01      -1.500e-01      -8.358e-04          0.1122
 218       1.236e-01      -1.500e-01      -2.410e-03          0.0081
 219       9.531e-02      -1.500e-01      -4.126e-03         -0.0850
 220       6.469e-02      -1.500e-01      -5.123e-03         -0.1457
 221       3.641e-02      -1.500e-01      -5.039e-03         -0.1913
 222       1.476e-02      -1.500e-01      -3.771e-03         -0.2303
 223       3.045e-03      -1.500e-01      -1.540e-03         -0.2476
 224       3.045e-03      -1.500e-01       2.178e-03          0.5319
 225       1.476e-02      -1.500e-01       6.815e-03         -0.3017
 226       3.641e-02      -1.500e-01       1.007e-02         -0.4194
 227       6.469e-02      -1.500e-01       1.074e-02         -0.3781
 228       9.531e-02      -1.500e-01       8.692e-03         -0.2450
 229       1.236e-01      -1.500e-01       5.089e-03         -0.0693
 230       1.452e-01      -1.500e-01       1.885e-03          0.0880
 231       1.570e-01      -1.500e-01       3.104e-04          0.1705
Strip 15
 232       1.570e-01      -1.167e-01      -1.095e-04          0.1733
 233       1.452e-01      -1.167e-01      -8.358e-04          0.1122
 234       1.236e-01      -1.167e-01      -2.410e-03          0.0082
 235       9.531e-02      -1.167e-01      -4.126e-03         -0.0848
 236       6.469e-02      -1.167e-01      -5.123e-03         -0.1454
 237       3.641e-02      -1.167e-01      -5.039e-03         -0.1907
 238       1.476e-02      -1.167e-01      -3.771e-03         -0.2290
 239       3.045e-03      -1.167e-01      -1.540e-03         -0.2431
 240       3.045e-03      -1.167e-01       2.178e-03          0.5289
 241       1.476e-02      -1.167e-01       6.815e-03         -0.3040
 242       3.641e-02      -1.167e-01       1.007e-02         -0.4211
 243       6.469e-02      -1.167e-01       1.074e-02         -0.3795
 244       9.531e-02      -1.167e-01       8.692e-03         -0.2460
 245       1.236e-01      -1.167e-01       5.089e-03         -0.0700
 246       1.452e-01      -1.167e-01       1.885e-03          0.0876
 247       1.570e-01      -1.167e-01       3.104e-04          0.1703
Strip 16
 248       1.570e-01      -8.333e-02      -1.095e-04          0.1733
 249       1.452e-01      -8.333e-02      -8.358e-04          0.1121
 250       1.236e-01      -8.333e-02      -2.410e-03          0.0082
 251       9.531e-02      -8.333e-02      -4.126e-03         -0.0847
 252       6.469e-02      -8.333e-02      -5.123e-03         -0.1451
 253       3.641e-02      -8.333e-02      -5.039e-03         -0.1902
 254       1.476e-02      -8.333e-02      -3.771e-03         -0.2280
 255       3.045e-03      -8.333e-02      -1.540e-03         -0.2399
 256       3.045e-03      -8.333e-02       2.178e-03          0.5268
 257       1.476e-02      -8.333e-02       6.815e-03         -0.3057
 258       3.641e-02      -8.333e-02       1.007e-02         -0.4223
 259       6.469e-02      -8.333e-02       1.074e-02         -0.3804
 260       9.531e-02      -8.333e-02       8.692e-03         -0.2467
 261       1.236e-01      -8.333e-02       5.089e-03         -0.0704
 262       1.452e-01      -8.333e-02       1.885e-03          0.0874
 263       1.570e-01      -8.333e-02       3.104e-04          0.1702
Strip 17
 264       1.570e-01      -5.000e-02      -1.095e-04          0.1732
 265       1.452e-01      -5.000e-02      -8.358e-04          0.1121
 266       1.236e-01      -5.000e-02      -2.410e-03          0.0083
 267       9.531e-02      -5.000e-02      -4.126e-03         -0.0846
 268       6.469e-02      -5.000e-02      -5.123e-03         -0.1450
