  92       6.487e-02      -4.022e-01      -5.113e-03         -0.1459
  93       3.663e-02      -4.022e-01      -5.030e-03         -0.2168
  94       1.502e-02      -4.022e-01      -3.764e-03         -0.3488
  95       3.329e-03      -4.022e-01      -1.537e-03         -0.7460
  96       3.329e-03      -4.022e-01       2.174e-03          0.7611
  97       1.502e-02      -4.022e-01       6.803e-03         -0.0342
  98       3.663e-02      -4.022e-01       1.006e-02         -0.1984
  99       6.487e-02      -4.022e-01       1.072e-02         -0.2024
 100       9.542e-02      -4.022e-01       8.677e-03         -0.1356
 101       1.237e-01      -4.022e-01       5.079e-03         -0.0266
 102       1.453e-01      -4.022e-01       1.881e-03          0.0818
 103       1.570e-01      -4.022e-01       3.098e-04          0.1428
Strip 7
 104       1.570e-01      -3.833e-01      -1.095e-04          0.1611
 105       1.452e-01      -3.833e-01      -8.358e-04          0.0995
 106       1.236e-01      -3.833e-01      -2.410e-03         -0.0066
 107       9.531e-02      -3.833e-01      -4.126e-03         -0.0997
 108       6.469e-02      -3.833e-01      -5.123e-03         -0.1723
 109       3.641e-02      -3.833e-01      -5.039e-03         -0.2617
 110       1.476e-02      -3.833e-01      -3.771e-03         -0.4330
 111       3.045e-03      -3.833e-01      -1.540e-03         -1.0019
 112       3.045e-03      -3.833e-01       2.178e-03          0.8679
 113       1.476e-02      -3.833e-01       6.815e-03         -0.0280
 114       3.641e-02      -3.833e-01       1.007e-02         -0.2321
 115       6.469e-02      -3.833e-01       1.074e-02         -0.2412
 116       9.531e-02      -3.833e-01       8.692e-03         -0.1610
 117       1.236e-01      -3.833e-01       5.089e-03         -0.0324
 118       1.452e-01      -3.833e-01       1.885e-03          0.0947
 119       1.570e-01      -3.833e-01       3.104e-04          0.1663
Strip 8
 120       1.570e-01      -3.500e-01      -1.095e-04          0.1706
 121       1.452e-01      -3.500e-01      -8.358e-04          0.1066
 122       1.236e-01      -3.500e-01      -2.410e-03         -0.0065
 123       9.531e-02      -3.500e-01      -4.126e-03         -0.1130
 124       6.469e-02      -3.500e-01      -5.123e-03         -0.1997
 125       3.641e-02      -3.500e-01      -5.039e-03         -0.3012
 126       1.476e-02      -3.500e-01      -3.771e-03         -0.4868
 127       3.045e-03      -3.500e-01      -1.540e-03         -1.1419
 128       3.045e-03      -3.500e-01       2.178e-03          0.9027
 129       1.476e-02      -3.500e-01       6.815e-03         -0.0049
 130       3.641e-02      -3.500e-01       1.007e-02         -0.2432
 131       6.469e-02      -3.500e-01       1.074e-02         -0.2646
 132       9.531e-02      -3.500e-01       8.692e-03         -0.1778
 133       1.236e-01      -3.500e-01       5.089e-03         -0.0361
 134       1.452e-01      -3.500e-01       1.885e-03          0.0993
 135       1.570e-01      -3.500e-01       3.104e-04          0.1742
Strip 9
 136       1.570e-01      -3.167e-01      -1.095e-04          0.1722
 137       1.452e-01      -3.167e-01      -8.358e-04          0.1068
 138       1.236e-01      -3.167e-01      -2.410e-03         -0.0096
 139       9.531e-02      -3.167e-01      -4.126e-03         -0.1215
 140       6.469e-02      -3.167e-01      -5.123e-03         -0.2140
 141       3.641e-02      -3.167e-01      -5.039e-03         -0.3207
 142       1.476e-02      -3.167e-01      -3.771e-03         -0.5152
 143       3.045e-03      -3.167e-01      -1.540e-03         -1.2159
 144       3.045e-03      -3.167e-01       2.178e-03          0.9173
 145       1.476e-02      -3.167e-01       6.815e-03          0.0076
 146       3.641e-02      -3.167e-01       1.007e-02         -0.2427
 147       6.469e-02      -3.167e-01       1.074e-02         -0.2703
 148       9.531e-02      -3.167e-01       8.692e-03         -0.1833
 149       1.236e-01      -3.167e-01       5.089e-03         -0.0384
 150       1.452e-01      -3.167e-01       1.885e-03          0.0996
 151       1.570e-01      -3.167e-01       3.104e-04          0.1755
Strip 10
 152       1.570e-01      -2.833e-01      -1.095e-04          0.1722
 153       1.452e-01      -2.833e-01      -8.358e-04          0.1059
 154       1.236e-01      -2.833e-01      -2.410e-03         -0.0125
 155       9.531e-02      -2.833e-01      -4.126e-03         -0.1273
 156       6.469e-02      -2.833e-01      -5.123e-03         -0.2228
 157       3.641e-02      -2.833e-01      -5.039e-03         -0.3324
 158       1.476e-02      -2.833e-01      -3.771e-03         -0.5328
 159       3.045e-03      -2.833e-01      -1.540e-03         -1.2632
 160       3.045e-03      -2.833e-01       2.178e-03          0.9258
 161       1.476e-02      -2.833e-01       6.815e-03          0.0161
 162       3.641e-02      -2.833e-01       1.007e-02         -0.2404
 163       6.469e-02      -2.833e-01       1.074e-02         -0.2713
 164       9.531e-02      -2.833e-01       8.692e-03         -0.1850
 165       1.236e-01      -2.833e-01       5.089e-03         -0.0394
 166       1.452e-01      -2.833e-01       1.885e-03          0.0993
 167       1.570e-01      -2.833e-01       3.104e-04          0.1755
Strip 11
 168       1.570e-01      -2.500e-01      -1.095e-04          0.1717
 169       1.452e-01      -2.500e-01      -8.358e-04          0.1048
 170       1.236e-01      -2.500e-01      -2.410e-03         -0.0149
 171       9.531e-02      -2.500e-01      -4.126e-03         -0.1313
 172       6.469e-02      -2.500e-01      -5.123e-03         -0.2285
 173       3.641e-02      -2.500e-01      -5.039e-03         -0.3401
 174       1.476e-02      -2.500e-01      -3.771e-03         -0.5447
 175       3.045e-03      -2.500e-01      -1.540e-03         -1.2961
 176       3.045e-03      -2.500e-01       2.178e-03          0.9314
 177       1.476e-02      -2.500e-01       6.815e-03          0.0223
 178       3.641e-02      -2.500e-01       1.007e-02         -0.2378
 179       6.469e-02      -2.500e-01       1.074e-02         -0.2708
 180       9.531e-02      -2.500e-01       8.692e-03         -0.1853
 181       1.236e-01      -2.500e-01       5.089e-03         -0.0397
 182       1.452e-01      -2.500e-01       1.885e-03          0.0990
 183       1.570e-01      -2.500e-01       3.104e-04          0.1753
Strip 12
 184       1.570e-01      -2.167e-01      -1.095e-04          0.1712
 185       1.452e-01      -2.167e-01      -8.358e-04          0.1039
 186       1.236e-01      -2.167e-01      -2.410e-03         -0.0166
 187       9.531e-02      -2.167e-01      -4.126e-03         -0.1341
 188       6.469e-02      -2.167e-01      -5.123e-03         -0.2325
 189       3.641e-02      -2.167e-01      -5.039e-03         -0.3454
 190       1.476e-02      -2.167e-01      -3.771e-03         -0.5532
 191       3.045e-03      -2.167e-01      -1.540e-03         -1.3201
 192       3.045e-03      -2.167e-01       2.178e-03          0.9354
 193       1.476e-02      -2.167e-01       6.815e-03          0.0271
 194       3.641e-02      -2.167e-01       1.007e-02         -0.2356
 195       6.469e-02      -2.167e-01       1.074e-02         -0.2699
 196       9.531e-02      -2.167e-01       8.692e-03         -0.1851
 197       1.236e-01      -2.167e-01       5.089e-03         -0.0398
 198       1.452e-01      -2.167e-01       1.885e-03          0.0989
 199       1.570e-01      -2.167e-01       3.104e-04          0.1750
Strip 13
 200       1.570e-01      -1.833e-01      -1.095e-04          0.1708
 201       1.452e-01      -1.833e-01      -8.358e-04          0.1031
 202       1.236e-01      -1.833e-01      -2.410e-03         -0.0179
 203       9.531e-02      -1.833e-01      -4.126e-03         -0.1362
 204       6.469e-02      -1.833e-01      -5.123e-03         -0.2353
 205       3.641e-02      -1.833e-01      -5.039e-03         -0.3492
 206       1.476e-02      -1.833e-01      -3.771e-03         -0.5594
 207       3.045e-03      -1.833e-01      -1.540e-03         -1.3381
 208       3.045e-03      -1.833e-01       2.178e-03          0.9383
 209       1.476e-02      -1.833e-01       6.815e-03          0.0307
 210       3.641e-02      -1.833e-01       1.007e-02         -0.2337
 211       6.469e-02      -1.833e-01       1.074e-02         -0.2690
 212       9.531e-02      -1.833e-01       8.692e-03         -0.1847
 213       1.236e-01      -1.833e-01       5.089e-03         -0.0397
 214       1.452e-01      -1.833e-01       1.885e-03          0.0987
 215       1.570e-01      -1.833e-01       3.104e-04          0.1748
Strip 14
 216       1.570e-01      -1.500e-01      -1.095e-04          0.1705
 217       1.452e-01      -1.500e-01      -8.358e-04          0.1026
 218       1.236e-01      -1.500e-01      -2.410e-03         -0.0189
 219       9.531e-02      -1.500e-01      -4.126e-03         -0.1376
 220       6.469e-02      -1.500e-01      -5.123e-03         -0.2373
 221       3.641e-02      -1.500e-01      -5.039e-03         -0.3520
 222       1.476e-02      -1.500e-01      -3.771e-03         -0.5639
 223       3.045e-03      -1.500e-01      -1.540e-03         -1.3515
 224       3.045e-03      -1.500e-01       2.178e-03          0.9404
 225       1.476e-02      -1.500e-01       6.815e-03          0.0335
 226       3.641e-02      -1.500e-01       1.007e-02         -0.2322
 227       6.469e-02      -1.500e-01       1.074e-02         -0.2682
 228       9.531e-02      -1.500e-01       8.692e-03         -0.1843
 229       1.236e-01      -1.500e-01       5.089e-03         -0.0396
 230       1.452e-01      -1.500e-01       1.885e-03          0.0987
 231       1.570e-01      -1.500e-01       3.104e-04          0.1747
Strip 15
 232       1.570e-01      -1.167e-01      -1.095e-04          0.1703
 233       1.452e-01      -1.167e-01      -8.358e-04          0.1022
 234       1.236e-01      -1.167e-01      -2.410e-03         -0.0196
 235       9.531e-02      -1.167e-01      -4.126e-03         -0.1387
 236       6.469e-02      -1.167e-01      -5.123e-03         -0.2388
 237       3.641e-02      -1.167e-01      -5.039e-03         -0.3540
 238       1.476e-02      -1.167e-01      -3.771e-03         -0.5672
 239       3.045e-03      -1.167e-01      -1.540e-03         -1.3614
 240       3.045e-03      -1.167e-01       2.178e-03          0.9420
 241       1.476e-02      -1.167e-01       6.815e-03          0.0356
 242       3.641e-02      -1.167e-01       1.007e-02         -0.2311
 243       6.469e-02      -1.167e-01       1.074e-02         -0.2675
 244       9.531e-02      -1.167e-01       8.692e-03         -0.1840
 245       1.236e-01      -1.167e-01       5.089e-03         -0.0395
 246       1.452e-01      -1.167e-01       1.885e-03          0.0987
 247       1.570e-01      -1.167e-01       3.104e-04          0.1746
Strip 16
 248       1.570e-01      -8.333e-02      -1.095e-04          0.1701
 249       1.452e-01      -8.333e-02      -8.358e-04          0.1019
 250       1.236e-01      -8.333e-02      -2.410e-03         -0.0201
