  90       1.237e-01      -4.022e-01      -2.406e-03         -0.0549
  91       9.542e-02      -4.022e-01      -4.118e-03         -0.0607
  92       6.487e-02      -4.022e-01      -5.113e-03         -0.0388
  93       3.663e-02      -4.022e-01      -5.030e-03          0.0209
  94       1.502e-02      -4.022e-01      -3.764e-03          0.2036
  95       3.329e-03      -4.022e-01      -1.537e-03          0.7618
  96       3.329e-03      -4.022e-01       2.174e-03         -0.8713
  97       1.502e-02      -4.022e-01       6.803e-03         -0.7328
  98       3.663e-02      -4.022e-01       1.006e-02         -0.5257
  99       6.487e-02      -4.022e-01       1.072e-02         -0.3884
 100       9.542e-02      -4.022e-01       8.677e-03         -0.2722
 101       1.237e-01      -4.022e-01       5.079e-03         -0.2024
 102       1.453e-01      -4.022e-01       1.881e-03         -0.1823
 103       1.570e-01      -4.022e-01       3.098e-04         -0.1685
Strip 7
 104       1.570e-01      -3.833e-01      -1.095e-04          0.1644
 105       1.452e-01      -3.833e-01      -8.358e-04          0.1100
 106       1.236e-01      -3.833e-01      -2.410e-03          0.0353
 107       9.531e-02      -3.833e-01      -4.126e-03         -0.0063
 108       6.469e-02      -3.833e-01      -5.123e-03          0.0073
 109       3.641e-02      -3.833e-01      -5.039e-03          0.0790
 110       1.476e-02      -3.833e-01      -3.771e-03          0.2953
 111       3.045e-03      -3.833e-01      -1.540e-03          0.9009
 112       3.045e-03      -3.833e-01       2.178e-03         -1.3094
 113       1.476e-02      -3.833e-01       6.815e-03         -0.9449
 114       3.641e-02      -3.833e-01       1.007e-02         -0.6391
 115       6.469e-02      -3.833e-01       1.074e-02         -0.4381
 116       9.531e-02      -3.833e-01       8.692e-03         -0.2519
 117       1.236e-01      -3.833e-01       5.089e-03         -0.0758
 118       1.452e-01      -3.833e-01       1.885e-03          0.0757
 119       1.570e-01      -3.833e-01       3.104e-04          0.1486
Strip 8
 120       1.570e-01      -3.500e-01      -1.095e-04          0.1889
 121       1.452e-01      -3.500e-01      -8.358e-04          0.1375
 122       1.236e-01      -3.500e-01      -2.410e-03          0.0674
 123       9.531e-02      -3.500e-01      -4.126e-03          0.0277
 124       6.469e-02      -3.500e-01      -5.123e-03          0.0479
 125       3.641e-02      -3.500e-01      -5.039e-03          0.1374
 126       1.476e-02      -3.500e-01      -3.771e-03          0.3866
 127       3.045e-03      -3.500e-01      -1.540e-03          0.9723
 128       3.045e-03      -3.500e-01       2.178e-03         -1.7793
 129       1.476e-02      -3.500e-01       6.815e-03         -1.1344
 130       3.641e-02      -3.500e-01       1.007e-02         -0.7631
 131       6.469e-02      -3.500e-01       1.074e-02         -0.5185
 132       9.531e-02      -3.500e-01       8.692e-03         -0.2880
 133       1.236e-01      -3.500e-01       5.089e-03         -0.0742
 134       1.452e-01      -3.500e-01       1.885e-03          0.0971
 135       1.570e-01      -3.500e-01       3.104e-04          0.1772
Strip 9
 136       1.570e-01      -3.167e-01      -1.095e-04          0.1983
 137       1.452e-01      -3.167e-01      -8.358e-04          0.1501
 138       1.236e-01      -3.167e-01      -2.410e-03          0.0848
 139       9.531e-02      -3.167e-01      -4.126e-03          0.0500
 140       6.469e-02      -3.167e-01      -5.123e-03          0.0766
 141       3.641e-02      -3.167e-01      -5.039e-03          0.1763
 142       1.476e-02      -3.167e-01      -3.771e-03          0.4413
 143       3.045e-03      -3.167e-01      -1.540e-03          0.9949
 144       3.045e-03      -3.167e-01       2.178e-03         -2.1175
 145       1.476e-02      -3.167e-01       6.815e-03         -1.2594
 146       3.641e-02      -3.167e-01       1.007e-02         -0.8407
 147       6.469e-02      -3.167e-01       1.074e-02         -0.5729
 148       9.531e-02      -3.167e-01       8.692e-03         -0.3206
 149       1.236e-01      -3.167e-01       5.089e-03         -0.0871
 150       1.452e-01      -3.167e-01       1.885e-03          0.0980
 151       1.570e-01      -3.167e-01       3.104e-04          0.1847
Strip 10
 152       1.570e-01      -2.833e-01      -1.095e-04          0.2028
 153       1.452e-01      -2.833e-01      -8.358e-04          0.1572
 154       1.236e-01      -2.833e-01      -2.410e-03          0.0962
 155       9.531e-02      -2.833e-01      -4.126e-03          0.0659
 156       6.469e-02      -2.833e-01      -5.123e-03          0.0975
 157       3.641e-02      -2.833e-01      -5.039e-03          0.2039
 158       1.476e-02      -2.833e-01      -3.771e-03          0.4789
 159       3.045e-03      -2.833e-01      -1.540e-03          0.9998
 160       3.045e-03      -2.833e-01       2.178e-03         -2.3748
 161       1.476e-02      -2.833e-01       6.815e-03         -1.3497
 162       3.641e-02      -2.833e-01       1.007e-02         -0.8945
 163       6.469e-02      -2.833e-01       1.074e-02         -0.6105
 164       9.531e-02      -2.833e-01       8.692e-03         -0.3445
 165       1.236e-01      -2.833e-01       5.089e-03         -0.0988
 166       1.452e-01      -2.833e-01       1.885e-03          0.0953
 167       1.570e-01      -2.833e-01       3.104e-04          0.1864
Strip 11
 168       1.570e-01      -2.500e-01      -1.095e-04          0.2052
 169       1.452e-01      -2.500e-01      -8.358e-04          0.1617
 170       1.236e-01      -2.500e-01      -2.410e-03          0.1042
 171       9.531e-02      -2.500e-01      -4.126e-03          0.0775
 172       6.469e-02      -2.500e-01      -5.123e-03          0.1129
 173       3.641e-02      -2.500e-01      -5.039e-03          0.2241
 174       1.476e-02      -2.500e-01      -3.771e-03          0.5061
 175       3.045e-03      -2.500e-01      -1.540e-03          0.9972
