XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-LLT-x0.000mm
QInf  =   18.000000 m/s
Alpha =    9.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.804308
Cy    =    0.000000
Cd    =    0.054576     ICd   =    0.041559     PCd   =    0.013017
Cl   = -3.41018e-17
Cm   =   -0.231923
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.045327     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    2.005228

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4118     0.1552    -9.104    0.257852    0.011295    0.040972   -0.121029   -0.048581     0.8197    0.9818    0.4407    0.0000
   -0.3965     0.1600    -7.308    0.457966    0.010547    0.058416   -0.165071   -0.050552     0.7437    1.0000    0.3586    0.0012
   -0.3715     0.1600    -5.550    0.611425    0.010692    0.059224   -0.195493   -0.042753     0.6593    1.0000    0.3166    0.0106
   -0.3373     0.1600    -4.332    0.720754    0.011028    0.054497   -0.217125   -0.037309     0.5789    1.0000    0.2974    0.0430
   -0.2948     0.1600    -3.475    0.796190    0.011595    0.048287   -0.231542   -0.033140     0.4863    1.0000    0.2864    0.1206
   -0.2450     0.1600    -2.870    0.846321    0.012519    0.042388   -0.240877   -0.030172     0.3942    1.0000    0.2798    0.2695
   -0.1893     0.1600    -2.447    0.878071    0.013531    0.037501   -0.246329   -0.027859     0.3170    1.0000    0.2754    0.5154
   -0.1288     0.1600    -2.165    0.896826    0.014456    0.033882   -0.249263   -0.026220     0.2561    1.0000    0.2726    0.8799
   -0.0652     0.1600    -2.014    0.906836    0.014950    0.031874   -0.250825   -0.025344     0.2235    1.0000    0.2711    1.3758
   -0.0000     0.1600    -1.962    0.909912    0.015169    0.031151   -0.251267   -0.025039     0.2116    1.0000    0.2706    2.0052
    0.0652     0.1600    -2.014    0.906836    0.014950    0.031874   -0.250825   -0.025344     0.2235    1.0000    0.2711    1.3758
    0.1288     0.1600    -2.165    0.896826    0.014456    0.033882   -0.249263   -0.026220     0.2561    1.0000    0.2726    0.8799
    0.1893     0.1600    -2.447    0.878071    0.013531    0.037501   -0.246329   -0.027859     0.3170    1.0000    0.2754    0.5154
    0.2450     0.1600    -2.870    0.846321    0.012519    0.042388   -0.240877   -0.030172     0.3942    1.0000    0.2798    0.2695
    0.2948     0.1600    -3.475    0.796190    0.011595    0.048287   -0.231542   -0.033140     0.4863    1.0000    0.2864    0.1206
    0.3373     0.1600    -4.332    0.720754    0.011028    0.054497   -0.217125   -0.037309     0.5789    1.0000    0.2974    0.0430
    0.3715     0.1600    -5.550    0.611425    0.010692    0.059224   -0.195493   -0.042753     0.6593    1.0000    0.3166    0.0106
    0.3965     0.1600    -7.308    0.457966    0.010547    0.058416   -0.165071   -0.050552     0.7437    1.0000    0.3586    0.0012
    0.4118     0.1552    -9.104    0.257852    0.011295    0.040972   -0.121029   -0.048581     0.8197    0.9818    0.4407    0.0000




