XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-Panel-x0.000mm
QInf  =   18.000000 m/s
Alpha =    6.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.538468
Cy    =    0.000000
Cd    =    0.028171     ICd   =    0.017356     PCd   =    0.010815
Cl   = 7.66917e-17
Cm   =   -0.154874
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.045211     YCP   =   -0.000000 
XNP   =    0.000000
Bend. =    1.211630

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4176     0.1453   -11.375    0.053365    0.012012    0.010968   -0.122387   -0.115732     0.8630    0.9333    6.4516    0.0000
   -0.4162     0.1495    -3.860    0.104421    0.011840    0.007096   -0.084969   -0.034846     0.8521    0.9482    0.4720    0.0000
   -0.4139     0.1533    -3.647    0.149797    0.011600    0.009611   -0.078203   -0.020590     0.8409    0.9585    0.3532    0.0000
   -0.4107     0.1564    -3.396    0.191787    0.011387    0.011453   -0.074287   -0.014685     0.8302    0.9675    0.3148    0.0001
   -0.4069     0.1586    -3.133    0.232303    0.011206    0.012790   -0.077205   -0.013845     0.8201    0.9757    0.3039    0.0002
   -0.4026     0.1597    -2.892    0.275412    0.011065    0.013985   -0.089156   -0.018690     0.8108    0.9844    0.3140    0.0005
   -0.3833     0.1600    -2.764    0.342428    0.010766    0.016616   -0.093867   -0.008337     0.7957    0.9965    0.2708    0.0026
   -0.3500     0.1600    -2.472    0.424936    0.010578    0.018425   -0.117477   -0.010307     0.7600    1.0000    0.2705    0.0185
   -0.3167     0.1600    -2.236    0.480517    0.010528    0.018841   -0.135044   -0.012956     0.7323    1.0000    0.2730    0.0495
   -0.2833     0.1600    -2.048    0.520096    0.010576    0.018671   -0.147714   -0.014944     0.7119    1.0000    0.2746    0.0976
   -0.2500     0.1600    -1.899    0.549294    0.010603    0.018274   -0.157007   -0.016349     0.6957    1.0000    0.2756    0.1643
   -0.2167     0.1600    -1.780    0.571267    0.010619    0.017812   -0.163934   -0.017341     0.6832    1.0000    0.2761    0.2506
   -0.1833     0.1600    -1.687    0.587933    0.010649    0.017366   -0.169139   -0.018045     0.6733    1.0000    0.2764    0.3572
   -0.1500     0.1600    -1.614    0.600522    0.010672    0.016971   -0.173038   -0.018545     0.6658    1.0000    0.2765    0.4847
   -0.1167     0.1600    -1.559    0.609843    0.010689    0.016647   -0.175905   -0.018897     0.6603    1.0000    0.2766    0.6337
   -0.0833     0.1600    -1.520    0.616437    0.010702    0.016400   -0.177923   -0.019135     0.6563    1.0000    0.2766    0.8043
   -0.0500     0.1600    -1.494    0.620657    0.010717    0.016235   -0.179209   -0.019284     0.6535    1.0000    0.2767    0.9969
   -0.0167     0.1600    -1.482    0.622717    0.010724    0.016152   -0.179836   -0.019355     0.6522    1.0000    0.2767    1.2116
    0.0167     0.1600    -1.482    0.622717    0.010724    0.016152   -0.179836   -0.019355     0.6522    1.0000    0.2767    1.2116
    0.0500     0.1600    -1.494    0.620657    0.010717    0.016235   -0.179209   -0.019284     0.6535    1.0000    0.2767    0.9969
    0.0833     0.1600    -1.520    0.616437    0.010702    0.016400   -0.177923   -0.019135     0.6563    1.0000    0.2766    0.8043
    0.1167     0.1600    -1.559    0.609843    0.010689    0.016647   -0.175905   -0.018897     0.6603    1.0000    0.2766    0.6337
    0.1500     0.1600    -1.614    0.600522    0.010672    0.016971   -0.173038   -0.018545     0.6658    1.0000    0.2765    0.4847
    0.1833     0.1600    -1.687    0.587933    0.010649    0.017366   -0.169139   -0.018045     0.6733    1.0000    0.2764    0.3572
    0.2167     0.1600    -1.780    0.571267    0.010619    0.017812   -0.163934   -0.017341     0.6832    1.0000    0.2761    0.2506
    0.2500     0.1600    -1.899    0.549294    0.010603    0.018274   -0.157007   -0.016349     0.6957    1.0000    0.2756    0.1643
    0.2833     0.1600    -2.048    0.520096    0.010576    0.018671   -0.147714   -0.014944     0.7119    1.0000    0.2746    0.0976
    0.3167     0.1600    -2.236    0.480517    0.010528    0.018841   -0.135044   -0.012956     0.7323    1.0000    0.2730    0.0495
    0.3500     0.1600    -2.472    0.424936    0.010578    0.018425   -0.117477   -0.010307     0.7600    1.0000    0.2705    0.0185
    0.3833     0.1600    -2.764    0.342428    0.010766    0.016616   -0.093867   -0.008337     0.7957    0.9965    0.2708    0.0026
    0.4026     0.1597    -2.892    0.275412    0.011065    0.013985   -0.089156   -0.018690     0.8108    0.9844    0.3140    0.0005
    0.4069     0.1586    -3.133    0.232303    0.011206    0.012790   -0.077205   -0.013845     0.8201    0.9757    0.3039    0.0002
    0.4107     0.1564    -3.396    0.191787    0.011387    0.011453   -0.074287   -0.014685     0.8302    0.9675    0.3148    0.0001
    0.4139     0.1533    -3.647    0.149797    0.011600    0.009611   -0.078203   -0.020590     0.8409    0.9585    0.3532    0.0000
    0.4162     0.1495    -3.860    0.104421    0.011840    0.007096   -0.084969   -0.034846     0.8521    0.9482    0.4720    0.0000
    0.4176     0.1453   -11.375    0.053365    0.012012    0.010968   -0.122387   -0.115732     0.8630    0.9333    6.4516    0.0000


Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z             Cp
Rounded tunnel shapeCp Coefficients
Strip 1
   8       1.572e-01      -4.166e-01      -9.943e-05         -2.4999
   9       1.466e-01      -4.166e-01      -7.589e-04         -0.7297
  10       1.269e-01      -4.166e-01      -2.188e-03         -0.2865
  11       1.013e-01      -4.166e-01      -3.746e-03         -0.2942
  12       7.346e-02      -4.166e-01      -4.652e-03         -0.6169
  13       4.777e-02      -4.166e-01      -4.575e-03         -1.2776
  14       2.812e-02      -4.166e-01      -3.424e-03         -1.9090
  15       1.748e-02      -4.166e-01      -1.398e-03         -1.2382
  16       1.748e-02      -4.166e-01       1.978e-03         -0.3624
  17       2.812e-02      -4.166e-01       6.188e-03         -0.3230
  18       4.777e-02      -4.166e-01       9.148e-03         -0.6403
  19       7.346e-02      -4.166e-01       9.755e-03         -1.2569
  20       1.013e-01      -4.166e-01       7.893e-03         -0.9082
  21       1.269e-01      -4.166e-01       4.621e-03         -0.6618
  22       1.466e-01      -4.166e-01       1.711e-03         -0.9511
  23       1.572e-01      -4.166e-01       2.818e-04         -2.7099
Strip 2
  24       1.572e-01      -4.155e-01      -1.023e-04         -1.2523
  25       1.462e-01      -4.155e-01      -7.810e-04         -0.4225
  26       1.260e-01      -4.155e-01      -2.252e-03         -0.1780
  27       9.955e-02      -4.155e-01      -3.855e-03         -0.1296
  28       7.094e-02      -4.155e-01      -4.787e-03         -0.1310
  29       4.451e-02      -4.155e-01      -4.708e-03         -0.1595
  30       2.428e-02      -4.155e-01      -3.523e-03         -0.2333
  31       1.334e-02      -4.155e-01      -1.439e-03         -0.4135
  32       1.334e-02      -4.155e-01       2.036e-03         -0.2858
  33       2.428e-02      -4.155e-01       6.368e-03         -0.3808
  34       4.451e-02      -4.155e-01       9.414e-03         -0.4106
  35       7.094e-02      -4.155e-01       1.004e-02         -0.4044
  36       9.955e-02      -4.155e-01       8.122e-03         -0.2822
  37       1.260e-01      -4.155e-01       4.755e-03         -0.2218
  38       1.462e-01      -4.155e-01       1.761e-03         -0.5670
  39       1.572e-01      -4.155e-01       2.900e-04         -1.4991
Strip 3
  40       1.571e-01      -4.133e-01      -1.049e-04         -0.3253
  41       1.459e-01      -4.133e-01      -8.008e-04         -0.2343
  42       1.251e-01      -4.133e-01      -2.309e-03         -0.1462
  43       9.802e-02      -4.133e-01      -3.953e-03         -0.1119
  44       6.868e-02      -4.133e-01      -4.908e-03         -0.0901
  45       4.158e-02      -4.133e-01      -4.828e-03         -0.0702
  46       2.084e-02      -4.133e-01      -3.613e-03         -0.0488
  47       9.617e-03      -4.133e-01      -1.475e-03          0.0860
  48       9.617e-03      -4.133e-01       2.087e-03         -0.2354
  49       2.084e-02      -4.133e-01       6.530e-03         -0.4296
  50       4.158e-02      -4.133e-01       9.652e-03         -0.3851
  51       6.868e-02      -4.133e-01       1.029e-02         -0.3305
  52       9.802e-02      -4.133e-01       8.328e-03         -0.2478
  53       1.251e-01      -4.133e-01       4.876e-03         -0.2114
  54       1.459e-01      -4.133e-01       1.806e-03         -0.3297
  55       1.571e-01      -4.133e-01       2.974e-04         -0.4275
Strip 4
  56       1.570e-01      -4.102e-01      -1.070e-04         -0.0885
  57       1.456e-01      -4.102e-01      -8.169e-04         -0.1012
  58       1.244e-01      -4.102e-01      -2.356e-03         -0.1024
  59       9.676e-02      -4.102e-01      -4.033e-03         -0.0934
  60       6.684e-02      -4.102e-01      -5.007e-03         -0.0751
  61       3.919e-02      -4.102e-01      -4.925e-03         -0.0534
  62       1.803e-02      -4.102e-01      -3.686e-03          0.0097
  63       6.581e-03      -4.102e-01      -1.505e-03          0.3175
  64       6.581e-03      -4.102e-01       2.129e-03         -0.2238
  65       1.803e-02      -4.102e-01       6.662e-03         -0.4690
  66       3.919e-02      -4.102e-01       9.847e-03         -0.3961
  67       6.684e-02      -4.102e-01       1.050e-02         -0.3201
  68       9.676e-02      -4.102e-01       8.496e-03         -0.2327
  69       1.244e-01      -4.102e-01       4.974e-03         -0.1702
  70       1.456e-01      -4.102e-01       1.842e-03         -0.1646
  71       1.570e-01      -4.102e-01       3.034e-04         -0.1563
Strip 5
  72       1.570e-01      -4.064e-01      -1.085e-04         -0.0101
  73       1.454e-01      -4.064e-01      -8.283e-04         -0.0418
  74       1.239e-01      -4.064e-01      -2.389e-03         -0.0645
  75       9.588e-02      -4.064e-01      -4.089e-03         -0.0747
  76       6.554e-02      -4.064e-01      -5.077e-03         -0.0661
  77       3.751e-02      -4.064e-01      -4.994e-03         -0.0431
  78       1.605e-02      -4.064e-01      -3.737e-03          0.0526
  79       4.438e-03      -4.064e-01      -1.526e-03          0.4458
  80       4.438e-03      -4.064e-01       2.159e-03         -0.2447
  81       1.605e-02      -4.064e-01       6.755e-03         -0.5074
  82       3.751e-02      -4.064e-01       9.985e-03         -0.4173
  83       6.554e-02      -4.064e-01       1.065e-02         -0.3259
  84       9.588e-02      -4.064e-01       8.615e-03         -0.2261
  85       1.239e-01      -4.064e-01       5.043e-03         -0.1430
  86       1.454e-01      -4.064e-01       1.868e-03         -0.1006
  87       1.570e-01      -4.064e-01       3.076e-04         -0.0762
Strip 6
  88       1.570e-01      -4.022e-01      -1.093e-04          0.0499
  89       1.453e-01      -4.022e-01      -8.342e-04          0.0175
