XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-LLT-x0.000mm
QInf  =   18.000000 m/s
Alpha =    6.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.615929
Cy    =    0.000000
Cd    =    0.035046     ICd   =    0.024237     PCd   =    0.010809
Cl   = -2.26949e-17
Cm   =   -0.195905
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.050324     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    1.530399

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4118     0.1552    -6.474    0.193076    0.011445    0.021817   -0.098039   -0.043815     0.8317    0.9680    0.4783    0.0000
   -0.3965     0.1600    -5.530    0.347056    0.010741    0.033498   -0.140971   -0.054188     0.7948    0.9975    0.4053    0.0009
   -0.3715     0.1600    -4.227    0.464966    0.010541    0.034304   -0.166439   -0.050172     0.7402    1.0000    0.3561    0.0080
   -0.3373     0.1600    -3.270    0.548241    0.010602    0.031286   -0.183039   -0.046008     0.6963    1.0000    0.3313    0.0326
   -0.2948     0.1600    -2.610    0.606193    0.010682    0.027609   -0.194453   -0.043012     0.6625    1.0000    0.3177    0.0915
   -0.2450     0.1600    -2.166    0.645991    0.010809    0.024418   -0.202352   -0.041035     0.6368    1.0000    0.3099    0.2047
   -0.1893     0.1600    -1.870    0.672636    0.010888    0.021949   -0.207625   -0.039706     0.6181    1.0000    0.3051    0.3920
   -0.1288     0.1600    -1.681    0.689510    0.010924    0.020231   -0.210956   -0.038863     0.6054    1.0000    0.3023    0.6699
   -0.0652     0.1600    -1.577    0.698840    0.010945    0.019233   -0.212797   -0.038396     0.5983    1.0000    0.3008    1.0487
   -0.0000     0.1600    -1.544    0.701821    0.010951    0.018907   -0.213385   -0.038247     0.5960    1.0000    0.3003    1.5304
    0.0652     0.1600    -1.577    0.698840    0.010945    0.019233   -0.212797   -0.038396     0.5983    1.0000    0.3008    1.0487
    0.1288     0.1600    -1.681    0.689510    0.010924    0.020231   -0.210956   -0.038863     0.6054    1.0000    0.3023    0.6699
    0.1893     0.1600    -1.870    0.672636    0.010888    0.021949   -0.207625   -0.039706     0.6181    1.0000    0.3051    0.3920
    0.2450     0.1600    -2.166    0.645991    0.010809    0.024418   -0.202352   -0.041035     0.6368    1.0000    0.3099    0.2047
    0.2948     0.1600    -2.610    0.606193    0.010682    0.027609   -0.194453   -0.043012     0.6625    1.0000    0.3177    0.0915
    0.3373     0.1600    -3.270    0.548241    0.010602    0.031286   -0.183039   -0.046008     0.6963    1.0000    0.3313    0.0326
    0.3715     0.1600    -4.227    0.464966    0.010541    0.034304   -0.166439   -0.050172     0.7402    1.0000    0.3561    0.0080
    0.3965     0.1600    -5.530    0.347056    0.010741    0.033498   -0.140971   -0.054188     0.7948    0.9975    0.4053    0.0009
    0.4118     0.1552    -6.474    0.193076    0.011445    0.021817   -0.098039   -0.043815     0.8317    0.9680    0.4783    0.0000




